epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,1506.91,0.26946,0.27671,0.88771,0.97281,0.99533,0.9717,0.96083,0.19013,0.21881,0.64984,0.000463548,0.000463548,0.000463548
114,1520.37,0.28621,0.27339,0.89399,0.96938,0.9992,0.9727,0.9643,0.17947,0.20927,0.64427,0.000460249,0.000460249,0.000460249
115,1533.95,0.28569,0.2626,0.89706,0.97318,0.9974,0.97237,0.96597,0.1653,0.20329,0.63883,0.00045695,0.00045695,0.00045695
116,1547.39,0.28507,0.25667,0.88632,0.97158,0.99801,0.97222,0.96357,0.18132,0.21563,0.6445,0.000453652,0.000453652,0.000453652
117,1560.8,0.29077,0.27017,0.89378,0.97206,0.9956,0.97061,0.96219,0.17388,0.20772,0.6389,0.000450353,0.000450353,0.000450353
118,1574.21,0.28098,0.2694,0.88954,0.97115,0.99669,0.97061,0.96172,0.17301,0.20582,0.63748,0.000447054,0.000447054,0.000447054
119,1587.76,0.27795,0.2595,0.88589,0.96955,0.99804,0.97061,0.96325,0.17644,0.20639,0.63786,0.000443756,0.000443756,0.000443756
120,1601.23,0.27719,0.25142,0.88474,0.97193,0.99481,0.97061,0.9627,0.1616,0.20311,0.63543,0.000440457,0.000440457,0.000440457
121,1614.7,0.28639,0.25749,0.89183,0.97359,0.99437,0.97449,0.96752,0.16546,0.20898,0.63624,0.000437158,0.000437158,0.000437158
122,1628.85,0.28976,0.28468,0.89443,0.97276,0.99693,0.97123,0.96389,0.16589,0.20341,0.64032,0.00043386,0.00043386,0.00043386
123,1642.34,0.2859,0.26373,0.8914,0.97271,0.99747,0.97061,0.96126,0.17078,0.20893,0.64172,0.000430561,0.000430561,0.000430561
124,1655.82,0.28024,0.26603,0.88541,0.97263,0.99685,0.97344,0.96757,0.15236,0.19245,0.62743,0.000427262,0.000427262,0.000427262
125,1669.47,0.28697,0.26136,0.89116,0.97122,0.99868,0.97146,0.9646,0.16603,0.2043,0.63284,0.000423964,0.000423964,0.000423964
126,1683.11,0.27603,0.25318,0.88492,0.97215,0.99872,0.97287,0.96467,0.17504,0.20876,0.64472,0.000420665,0.000420665,0.000420665
127,1696.81,0.28115,0.27655,0.88683,0.96648,0.99866,0.97061,0.96568,0.16125,0.20562,0.63556,0.000417366,0.000417366,0.000417366
128,1710.96,0.26988,0.25582,0.87879,0.97036,1,0.97061,0.96408,0.16956,0.20416,0.64163,0.000414068,0.000414068,0.000414068
129,1724.9,0.27819,0.26166,0.88237,0.97231,0.99642,0.97107,0.96307,0.16287,0.20536,0.63331,0.000410769,0.000410769,0.000410769
130,1738.62,0.27642,0.25343,0.88847,0.9718,0.99603,0.97061,0.96604,0.16574,0.20187,0.63623,0.00040747,0.00040747,0.00040747
131,1752.34,0.27646,0.2517,0.88946,0.97237,0.99862,0.97212,0.96402,0.16674,0.19926,0.6374,0.000404172,0.000404172,0.000404172
132,1765.74,0.27493,0.25965,0.88906,0.97201,0.99609,0.97222,0.96473,0.15959,0.20032,0.63556,0.000400873,0.000400873,0.000400873
133,1779.19,0.27992,0.25262,0.88444,0.96967,0.99789,0.97123,0.96514,0.16034,0.20878,0.63545,0.000397574,0.000397574,0.000397574
134,1792.46,0.25772,0.24803,0.87512,0.97297,0.9958,0.97287,0.96545,0.16031,0.20095,0.63453,0.000394276,0.000394276,0.000394276
135,1806.13,0.26611,0.25271,0.89169,0.97323,0.99565,0.97127,0.9659,0.16266,0.19723,0.63287,0.000390977,0.000390977,0.000390977
136,1819.61,0.25889,0.24833,0.88503,0.97221,0.99746,0.97061,0.96518,0.15292,0.1928,0.62512,0.000387678,0.000387678,0.000387678
137,1833.22,0.25659,0.24001,0.88749,0.97068,0.99793,0.97061,0.96244,0.16141,0.19819,0.63487,0.00038438,0.00038438,0.00038438
138,1847.68,0.26222,0.24346,0.87841,0.97375,0.99168,0.97123,0.96558,0.15878,0.19902,0.63259,0.000381081,0.000381081,0.000381081
139,1861.96,0.24309,0.22855,0.88194,0.97249,0.9952,0.97127,0.96452,0.14983,0.19149,0.62568,0.000377782,0.000377782,0.000377782
140,1876.05,0.25596,0.24781,0.88393,0.97165,0.99759,0.97061,0.96278,0.15142,0.1921,0.62999,0.000374483,0.000374483,0.000374483
141,1889.72,0.26985,0.24239,0.88843,0.97081,0.99814,0.97123,0.96569,0.14958,0.19317,0.62806,0.000371185,0.000371185,0.000371185
142,1903.24,0.27507,0.25333,0.88599,0.96819,0.99774,0.97252,0.96763,0.15349,0.19415,0.63065,0.000367886,0.000367886,0.000367886
143,1916.76,0.25605,0.24168,0.87636,0.97046,0.99789,0.97443,0.96813,0.16145,0.19691,0.63552,0.000364587,0.000364587,0.000364587
144,1930.7,0.2652,0.24544,0.88345,0.97362,0.99508,0.97263,0.96571,0.16134,0.2036,0.63357,0.000361289,0.000361289,0.000361289
145,1944.43,0.26374,0.25007,0.8838,0.97345,0.99957,0.97123,0.96543,0.15506,0.1938,0.63057,0.00035799,0.00035799,0.00035799
146,1958.03,0.25463,0.23186,0.87607,0.97298,0.99698,0.97222,0.96784,0.15064,0.18987,0.62796,0.000354691,0.000354691,0.000354691
147,1971.53,0.2602,0.23099,0.88308,0.97313,0.99497,0.97127,0.96707,0.14455,0.1897,0.62696,0.000351393,0.000351393,0.000351393
148,1985.21,0.26069,0.24073,0.90309,0.97186,0.99771,0.97127,0.96454,0.14873,0.19605,0.62812,0.000348094,0.000348094,0.000348094
149,1999.19,0.24517,0.23606,0.8729,0.97355,0.9972,0.97061,0.96433,0.15298,0.19538,0.62716,0.000344795,0.000344795,0.000344795
150,2012.97,0.27378,0.26235,0.8925,0.97236,0.99819,0.97174,0.96524,0.15319,0.19444,0.62928,0.000341497,0.000341497,0.000341497
151,2026.55,0.25482,0.24907,0.88341,0.97231,0.9993,0.9727,0.96747,0.14447,0.18565,0.62438,0.000338198,0.000338198,0.000338198
152,2040.01,0.25289,0.23649,0.8821,0.97355,0.99561,0.9727,0.96883,0.1451,0.18936,0.62528,0.000334899,0.000334899,0.000334899
153,2053.56,0.24972,0.23742,0.87483,0.97066,0.99898,0.97114,0.96666,0.1395,0.18537,0.62377,0.000331601,0.000331601,0.000331601
154,2067.05,0.25244,0.24409,0.89064,0.97232,0.99926,0.97174,0.96871,0.14769,0.18838,0.62713,0.000328302,0.000328302,0.000328302
155,2080.59,0.2564,0.24035,0.88267,0.97273,0.99871,0.97461,0.97051,0.14616,0.18541,0.62445,0.000325003,0.000325003,0.000325003
156,2094.25,0.24592,0.23367,0.87663,0.97307,0.99882,0.9727,0.96822,0.14695,0.18833,0.62977,0.000321705,0.000321705,0.000321705
157,2107.87,0.24377,0.23647,0.87426,0.97172,0.99884,0.97127,0.96792,0.13674,0.18745,0.62066,0.000318406,0.000318406,0.000318406
158,2121.72,0.25294,0.23656,0.88862,0.97265,1,0.97231,0.96766,0.13832,0.18498,0.62446,0.000315107,0.000315107,0.000315107
159,2135.3,0.23762,0.22316,0.87552,0.97126,0.99925,0.9727,0.96782,0.14008,0.18892,0.6269,0.000311809,0.000311809,0.000311809
160,2148.95,0.255,0.23353,0.88005,0.97261,0.99717,0.9727,0.96777,0.14744,0.18676,0.627,0.00030851,0.00030851,0.00030851
161,2162.75,0.2474,0.233,0.88085,0.973,0.99538,0.97061,0.96523,0.14599,0.18882,0.62536,0.000305211,0.000305211,0.000305211
162,2176.67,0.22404,0.21793,0.86748,0.97271,0.99569,0.97414,0.96781,0.14156,0.18346,0.62687,0.000301913,0.000301913,0.000301913
163,2190.38,0.24773,0.23542,0.88548,0.97216,0.99859,0.97061,0.96582,0.14689,0.18925,0.62959,0.000298614,0.000298614,0.000298614
164,2203.84,0.24319,0.23613,0.87733,0.97202,0.99847,0.97114,0.96599,0.1375,0.18225,0.62627,0.000295315,0.000295315,0.000295315
165,2217.6,0.23452,0.2255,0.87171,0.97204,0.99921,0.97114,0.96466,0.14133,0.18225,0.62851,0.000292016,0.000292016,0.000292016
166,2231.39,0.25026,0.22567,0.87641,0.97079,0.99834,0.97123,0.96662,0.13802,0.17789,0.6254,0.000288718,0.000288718,0.000288718
167,2245.17,0.24294,0.22111,0.88464,0.97033,1,0.97174,0.96756,0.14246,0.18814,0.63322,0.000285419,0.000285419,0.000285419
168,2259.11,0.23747,0.21953,0.87338,0.97137,0.99897,0.97123,0.96784,0.13932,0.18128,0.62838,0.00028212,0.00028212,0.00028212
169,2272.62,0.23496,0.22267,0.86665,0.97325,0.99799,0.97127,0.96691,0.13561,0.18164,0.62835,0.000278822,0.000278822,0.000278822
170,2286.17,0.22648,0.2206,0.87285,0.97152,0.9997,0.97061,0.96674,0.13289,0.18383,0.62573,0.000275523,0.000275523,0.000275523
171,2299.7,0.24024,0.22326,0.87724,0.97252,0.99955,0.97114,0.96743,0.13532,0.18559,0.62459,0.000272224,0.000272224,0.000272224
172,2313.17,0.23031,0.22207,0.87247,0.97229,0.99825,0.97061,0.96647,0.1384,0.18339,0.62832,0.000268926,0.000268926,0.000268926
173,2326.65,0.21825,0.20379,0.86842,0.97272,1,0.97123,0.96767,0.13458,0.17432,0.62486,0.000265627,0.000265627,0.000265627
174,2340.18,0.23079,0.22826,0.8712,0.97198,0.99917,0.97114,0.96743,0.1396,0.17787,0.6235,0.000262328,0.000262328,0.000262328
175,2353.69,0.24299,0.22236,0.88478,0.97341,0.99973,0.97174,0.96679,0.13919,0.1781,0.62507,0.00025903,0.00025903,0.00025903
176,2367.11,0.22615,0.22996,0.87399,0.97271,0.99945,0.97066,0.96568,0.14006,0.18014,0.62718,0.000255731,0.000255731,0.000255731
177,2380.54,0.21902,0.21463,0.87404,0.97052,0.99376,0.97109,0.96696,0.13459,0.18194,0.62514,0.000252432,0.000252432,0.000252432
